reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_rating,cleaned_content,year
b8917ec2-24bb-4f67-b644-9f042decd637,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi yg memudahkan untuk perjalanan,5,0,6.6.5,2025-09-24 15:51:29,,,6.6.5,Positive,mudah jalan,2025
bf93d95b-24d5-44b5-8a26-70f04a90024b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,udah mulai membaik aplikasi nya semoga sukses kedepannya,5,0,,2025-09-17 04:22:51,,,,Positive,udah baik sukses depa,2025
6c6a1c91-6985-4070-b556-7ed2bcd87c0b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus harga taxi bandaranya murah,5,0,6.6.34,2025-09-10 14:18:13,,,6.6.34,Positive,bagus harga taxi bandara murah,2025
a308c5b3-e9a3-4124-9bf3-1e2463e0b896,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"supirnya gajelas, jangan pake aplikasi ini",1,0,6.6.34,2025-09-10 09:03:19,,,6.6.34,Negative,supirnya gajelas pake,2025
f5062dfb-1407-449a-8527-d7017c8eff8f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi blm stabil, layanan mobil sering tidak muncul",5,0,6.6.32,2025-09-03 03:19:25,,,6.6.32,Positive,blm stabil mobil muncul,2025
6074ac89-5ee1-429d-b274-7aa6105a8116,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gak akan pernah pake ini lagi. saya sewa 1 mobil utk ke Bandung. di tengah jalan, sopir nya tiba2 berbelok k rest area dan katanya mau istirahat.. ini berlangsung cukup lama.. kalau seandainya tdk sanggup, jangan d ambil order nya. saya butuh cepat, makanya ambil 1 mobil langsung.. mana sopirnya main HP mulu saat nyetir.. bahaya.. gak akan lagi deh pake Okejek...!!!",1,4,6.6.30,2025-09-01 18:06:47,,,6.6.30,Negative,gak pake sewa mobil utk bandung jalan sopir belok k rest area istirahat anda tdk sangup d ambil butuh cepat ambil mobil langsung sopir main hp mulu sat nyetir bahaya gak deh pake okejek,2025
35ff2aad-e7c2-463e-8642-8657ce6b2519,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pelayanan Drivernya gak ramah, Saya order malah di batalin,, adeeeh",1,0,,2025-08-10 11:53:19,,,,Negative,gak ramah batalin adeh,2025
b2422d26-87d5-4aa1-8ecc-61a87b080d3b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"untuk food nya mohon dibanyakin lagi untuk daerah depok,seperti KFC,pizza hut, domino pizza, dll belum ada di depok Jawa Barat trimakasih",5,0,6.6.21,2025-08-09 08:51:05,,,6.6.21,Positive,fod mohon dibanyakin daerah depokseperti kfcpiza hut domino piza dl depok jawa barat trimakasih,2025
a32127d3-63cd-48ac-9ce2-a63c492bf03e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sukses trus OKEJEK aplikasi nya bagus sekali,5,1,6.6.1,2025-07-27 05:12:36,,,6.6.1,Positive,sukses trus okejek bagus,2025
5705d4fa-f0c3-4a30-9ef0-59efde706865,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi ini sangat bagus,dan banyak membantu",5,2,6.6.1,2025-07-04 03:05:38,,,6.6.1,Positive,bagusdan bantu,2025
74832780-632e-4b04-ab9c-f5561b47f68a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap sekali aplikasi keeerennn suksess terus OKEJEK,5,0,6.5.8,2025-06-12 12:15:32,,,6.5.8,Positive,mantap keren sukses okejek,2025
c2f7e333-c9ec-453e-9f19-b472edee46d3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"daftar aja error hadehhhh, auto uninstall",1,0,6.5.8,2025-06-07 09:27:30,,,6.5.8,Negative,daftar eror hadeh auto uninstal,2025
ff1554e4-ea3a-42a7-a005-35da63ac5f4d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Okejek beroperasi di wilayah mana aja kak?,5,0,3.0.6,2025-06-05 04:19:46,,,3.0.6,Positive,okejek operasi wilayah kak,2025
ac3faf97-a6f8-4aed-93b9-cc054f760814,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mantap...murah meria, sangat membantu",5,1,6.5.8,2025-06-02 11:53:01,,,6.5.8,Positive,mantapmurah ria bantu,2025
48d9eebc-9a1f-43f9-991a-339348670186,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pokoknya oke deh,5,0,,2025-04-22 10:26:40,,,,Positive,pokok deh,2025
69f35528-63a0-4023-8386-c8e208180457,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good,5,0,,2025-03-18 22:05:14,,,,Positive,god,2025
